id,entity,lat,lon,display_name,source,confidence
27e05b0e83ab,Där,59.3971477,13.3901915,"Där Söre, Önnerud, Karlstad, Karlstads kommun, Värmlands län, 653 46, Sverige",https://www.flashback.org/t359143,0.64
f468a6ce9342,Fan,58.6122492,11.5777344,"Fän, Skulestad, Munkedals kommun, Västra Götalands län, 457 61, Sverige",https://www.flashback.org/t3618848,0.72
badec5827f01,Sollefteå,63.383333,16.916667,"Sollefteå kommun, Västernorrlands län, Sverige",https://www.flashback.org/t2167471,0.72
05145121c97d,Bild,59.3124839,18.0664857,"Ileena Bild & Ram, Magnus Ladulåsgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 27, Sverige",https://www.flashback.org/t2167471,0.72
8d35c66b2b99,Väl,58.7384468,11.3171812,"Val, Tanumshede, Tanums kommun, Västra Götalands län, 457 30, Sverige",https://www.flashback.org/t3699472p2,0.56
3c88a47b0240,Andra,58.9695299,17.8337347,"Andra, Nynäshamns kommun, Stockholms län, 148 70, Sverige",https://www.flashback.org/t2167471,0.72
d7594c697b6a,Försvarets,59.3319094,17.8550853,"Försvarets radioanstalt, Vilan, Drottningholm, Ekerö kommun, Sundbybergs kommun, Stockholms län, Sverige",https://www.flashback.org/t2167471,0.72
e1b4aae02924,Nätet,63.6942746,20.3774688,"Nätet, Holmsunds Distrikt, Holmsund, Umeå kommun, Västerbottens län, Sverige",https://www.flashback.org/t2167471,0.72
78e97effe3de,Sverige,59.3382751,18.0718928,"Kungliga biblioteket, Humlegårdsgatan, Eriksberg, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 42, Sverige",https://www.flashback.org/t2167471,0.72
01a765068cb8,Många,63.3968195,12.9126768,"Mångåvägen, Duved, Åre kommun, Jämtlands län, 837 72, Sverige",https://www.flashback.org/t2167471,0.72
063c429f5857,Stor,58.1610129,13.5546725,"Storgatan, Gamla stan, Falköpings distrikt, Falköping, Falköpings kommun, Västra Götalands län, 521 42, Sverige",https://www.flashback.org/t2167471,0.72
287176e78d29,Sveriges,58.5812314,16.1480899,"Sveriges meteorologiska och hydrologiska institut, 1, Folkborgsvägen, Klockaretorpet, Norrköping, Norrköpings kommun, Östergötlands län, 601 76, Sverige",https://www.flashback.org/t2167471,0.72
9b9abea2a503,Bra,59.3534458,17.9569837,"BRA, Köpsvängen, Bromma Blocks, Ulvsunda industriområde, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 168 67, Sverige",https://www.flashback.org/t2167471,0.56
5c093c12f54e,Sibylla,65.6170152,22.0467766,"Sibylla, Storheden, Luleå, Luleå kommun, Norrbottens län, 973 45, Sverige",https://www.flashback.org/t2167471,0.48
01b881f5675c,Spannsjön,58.3785965,13.6021894,"Spånnsjön, Tranum, Norra Lundby distrikt, Axvall, Skara kommun, Västra Götalands län, Sverige",https://www.flashback.org/t2167471,0.48
3e544198db86,Skylt,57.7402833,14.1297253,"Skyltgatan, Hagaberg, Jönköping, Jönköpings kommun, Jönköpings län, 556 27, Sverige",https://www.flashback.org/t2167471p2,0.64
cf251b3e8bdd,Fältet,59.3027943,14.1016709,"Fältet, Kristinehamn, Kristinehamns kommun, Värmlands län, 681 80, Sverige",https://www.flashback.org/t2167471p2,0.64
8ab229a1f4bb,Han,61.5380854,12.7547415,"Hån, Älvdalens kommun, Dalarnas län, Sverige",https://www.flashback.org/t2167471p2,0.64
bfa9be7dd0ff,Skön,62.4306031,17.3326179,"Sköns distrikt, Sundsvalls kommun, Västernorrlands län, Sverige",https://www.flashback.org/t2167471p2,0.72
69f96e90dee3,Vid,58.5037196,13.1576427,"Lidköping, Lidköpings kommun, Västra Götalands län, 531 31, Sverige",https://www.flashback.org/t19834p2,0.84
1ec975ec023b,Längre,66.7881894,21.725119,"Kopelovaaravägen längre, Gällivare kommun, Norrbottens län, Sverige",https://www.flashback.org/t2167471p2,0.72
651c663c3ce7,Harry,57.7049897,11.9709437,"Harry Hjörnes Plats, Nordstaden, Inom Vallgraven, Centrum, Göteborg, Göteborgs Stad, Västra Götalands län, 411 07, Sverige",https://www.flashback.org/t2167471p2,0.72
d4a0963b96a3,Norrland,62.9210854,17.8939322,"Norrland, Lugnvik, Bjärtrå distrikt, Kramfors kommun, Västernorrlands län, 872 64, Sverige",https://www.flashback.org/t2167471p2,0.72
aa35faf56801,Loudden,59.3411451,18.1344991,"Loudden, Lidingöbro, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 27, Sverige",https://www.flashback.org/t3729743,0.56
17c72ea2b09c,Gärdet,59.3458768,18.0988773,"Gärdet, Rindögatan, Gärdeshöjden, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 35, Sverige",https://www.flashback.org/t3729743,0.56
f9d9e4b581eb,Tariq,58.3261627,15.1271794,"Tariq's Barbershop, Jerikodalsgatan, Mjölby, Mjölby kommun, Östergötlands län, 595 41, Sverige",https://www.flashback.org/t3729743,0.56
0e96b2301e99,Beckholmen,59.3207601,18.1000047,"Beckholmen, Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, Sverige",https://www.flashback.org/t3729743,0.56
626d3278f882,Skriv,55.6394104,13.7317163,"Skrivgatan, Lillås gård, Sjöbo, Sjöbo kommun, Skåne län, 275 34, Sverige",https://www.flashback.org/t3729743,0.56
5a03387070d9,Prada,59.3343091,18.0741129,"Prada, Mäster Samuelsgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 46, Sverige",https://www.flashback.org/t435500,0.76
56e0be61b2fb,Lars,55.6077303,13.0178701,"Lars, Slussen, Norr, Malmö, Malmö kommun, Skåne län, Sverige",https://www.flashback.org/t435500,0.76
1da35de9548d,Lund,55.7029296,13.1929449,"Lund, Lunds kommun, Skåne län, Sverige",https://www.flashback.org/t435500,0.48
5ef4d3c2d455,Ravinen,58.6583633,16.1495037,"Ravinen, Kvillinge församling, Norrköping, Norrköpings kommun, Östergötlands län, 616 34, Sverige",https://www.flashback.org/t435500,0.48
